%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
10.0, -79.64864935632795, 77.53934578131884, -6.170834926888347, 35.12701033381745, -0.35200001671910286, 0.9280000440776348, 0.33600001595914364, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915245036666E9, 0.0, 2022-03-07 14:18:44.503
11.0, -45.85491335671395, 46.14288565330207, 2.128003074787557, 21.92890339018777, -0.35200001671910286, 0.2240000106394291, 0.33600001595914364, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915245193577E9, 0.0, 2022-03-07 14:18:44.519
11.0, -9.450727188028395, 13.800230836495757, 25.061069603078067, -5.809934581164271, -0.35200001671910286, 0.2240000106394291, 0.33600001595914364, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915245193577E9, 0.0, 2022-03-07 14:18:44.519
12.0, -68.91139658354223, 63.387564348988235, 7.393782212398946, 26.39434393728152, -0.43200002051889896, 0.2240000106394291, 0.33600001595914364, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915245201128E9, 0.0, 2022-03-07 14:18:44.520
12.0, -61.820546267554164, 63.99342814181, -6.787918419577181, 28.219415115658194, -0.43200002051889896, 0.2240000106394291, 0.33600001595914364, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915245201128E9, 0.0, 2022-03-07 14:18:44.520
13.0, -11.934020758606493, 16.623855303041637, 16.84076950047165, -3.061108113732189, -0.43200002051889896, 0.2240000106394291, 0.33600001595914364, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915245336828E9, 0.0, 2022-03-07 14:18:44.533
13.0, -52.02948818355799, 48.899191920645535, 10.284724878147244, 14.191050381865352, -0.43200002051889896, 0.2240000106394291, 0.33600001595914364, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915245336828E9, 0.0, 2022-03-07 14:18:44.533
14.0, -74.24449392035604, 73.2571603320539, -4.686094644479454, 37.60282410448417, -0.43200002051889896, 0.2240000106394291, 0.33600001595914364, 0.0, 0.0, 0.0, 0.0, 0.0, 1.646691524565779E9, 0.0, 2022-03-07 14:18:44.565
14.0, -23.535190421156585, 28.872027657926083, 9.577883786521852, 9.142185441683978, -0.43200002051889896, 0.2240000106394291, 0.33600001595914364, 0.0, 0.0, 0.0, 0.0, 0.0, 1.646691524565779E9, 0.0, 2022-03-07 14:18:44.565
15.0, -29.620007649064064, 29.545209649950266, 24.54496340919286, 2.096213925164193, -0.43200002051889896, 0.2240000106394291, 0.33600001595914364, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915245665576E9, 0.0, 2022-03-07 14:18:44.566
15.0, -76.71282789111137, 73.9976605232805, -2.1093035750091076, 29.734074597712606, -0.43200002051889896, 0.2240000106394291, 0.33600001595914364, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915245665576E9, 0.0, 2022-03-07 14:18:44.566
16.0, -43.12478638906032, 47.709903734736145, 8.545671398751438, 17.224109245929867, -0.43200002051889896, 0.2240000106394291, 0.33600001595914364, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915245672412E9, 0.0, 2022-03-07 14:18:44.567
16.0, -10.827010371722281, 16.814590200781822, 29.481631350703537, -6.733689870219678, -0.43200002051889896, 0.2240000106394291, 0.33600001595914364, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915245672412E9, 0.0, 2022-03-07 14:18:44.567
17.0, -69.31156587880105, 65.47068862430751, 4.342023848555982, 24.030727165285498, -0.43200002051889896, 0.2240000106394291, 0.33600001595914364, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915245679982E9, 0.0, 2022-03-07 14:18:44.567
