%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
2.0, -28.51299726217985, -214.15789116267115, -176.3849016102031, 64.20660243928432, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6511848087605712E9, 0.0, 2022-04-28 15:26:48.760
2.0, -67.16112340427935, -448.8403532821685, -165.53171193879098, 296.4263404379599, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6511848087605712E9, 0.0, 2022-04-28 15:26:48.760
3.0, 14.757645225152373, -444.733943130821, -293.89255821797997, 139.5842860462144, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6511848087744603E9, 0.0, 2022-04-28 15:26:48.774
3.0, -52.470796378329396, -361.94938766164705, -516.0669249356724, -19.600815667770803, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6511848087744603E9, 0.0, 2022-04-28 15:26:48.774
4.0, -113.13197365961969, -221.94810277037323, -568.438613965176, -252.0094186142087, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6511848087751892E9, 0.0, 2022-04-28 15:26:48.775
4.0, 25.577175796963274, -331.74969551945105, -725.3909954056144, -371.6768674463965, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6511848087751892E9, 0.0, 2022-04-28 15:26:48.775
5.0, -47.80714113358408, -348.56802562018856, -558.3595835845917, -488.11491266684607, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651184808788808E9, 0.0, 2022-04-28 15:26:48.788
5.0, -108.98816450871527, -204.1760981809348, -691.3186368593015, -685.9556203228422, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651184808788808E9, 0.0, 2022-04-28 15:26:48.788
6.0, 2.655328968539834, 2.2289803735911846, -493.1880869567394, -492.53173451451585, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651184808804457E9, 0.0, 2022-04-28 15:26:48.804
6.0, -27.091835279017687, -220.38482458889484, -664.4642852274701, -426.9675483913161, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651184808804457E9, 0.0, 2022-04-28 15:26:48.804
7.0, -75.82647160161287, -17.003455148544163, -891.1414914918132, -578.0295874015428, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6511848088051393E9, 0.0, 2022-04-28 15:26:48.805
